Episode,Average Reward,Average Score
100,8.999999999999982,0.0
200,8.999999999999982,0.0
300,9.002999999999982,0.0
400,9.006999999999982,0.0
500,9.006999999999982,0.0
600,8.846999999999982,0.0
700,9.018999999999982,0.0
800,9.057999999999982,0.0
900,9.08899999999998,0.01
1000,9.112999999999982,0.0
1100,9.144999999999982,0.0
1200,9.132999999999983,0.0
1300,9.085999999999983,0.0
1400,9.140999999999982,0.0
1500,9.134999999999982,0.0
1600,9.146999999999982,0.02
1700,9.225999999999981,0.05
1800,9.280999999999981,0.06
1900,9.238999999999981,0.04
2000,9.12199999999998,0.05
2100,9.00399999999998,0.02
2200,8.752999999999982,0.02
2300,8.045999999999985,0.02
2400,9.135999999999981,0.05
2500,9.301999999999982,0.05
2600,9.344999999999981,0.04
2700,9.394999999999982,0.07
2800,9.43399999999998,0.07
2900,9.402999999999981,0.08
3000,9.318999999999981,0.05
3100,9.367999999999979,0.05
3200,9.498999999999981,0.1
3300,9.24599999999998,0.03
3400,9.402999999999981,0.07
3500,9.32999999999998,0.05
3600,9.40199999999998,0.09
3700,9.39999999999998,0.09
3800,9.20499999999998,0.05
3900,9.39799999999998,0.07
4000,9.39099999999998,0.03
4100,9.55699999999998,0.08
4200,9.775999999999978,0.15
4300,10.643999999999979,0.35
4400,10.822999999999974,0.56
4500,10.28099999999998,0.4
4600,10.49699999999998,0.57
4700,11.290999999999979,0.72
4800,12.43899999999998,0.83
4900,13.624999999999982,1.1
5000,13.905999999999988,1.17
5100,14.058999999999983,1.12
5200,15.156999999999993,1.38
5300,18.05300000000002,2.01
5400,16.111,1.59
5500,17.442000000000004,1.88
5600,19.61500000000003,2.33
5700,19.680000000000042,2.53
5800,21.17700000000004,2.68
5900,20.440000000000026,2.58
6000,21.866000000000053,2.9
6100,29.770000000000035,4.57
6200,28.46000000000007,4.29
6300,35.2110000000001,5.76
6400,36.78499999999999,6.15
6500,26.994000000000014,4.2
6600,30.780000000000065,4.82
6700,33.263000000000076,5.37
6800,29.994000000000057,4.65
6900,28.890000000000068,4.4
7000,26.32500000000005,3.89
7100,26.60100000000005,3.96
7200,32.58300000000003,5.22
7300,35.225000000000044,5.81
7400,30.656999999999936,4.91
7500,33.19300000000001,5.48
7600,34.92899999999996,5.82
7700,28.34800000000004,4.33
7800,32.300000000000026,5.18
7900,36.178,6.12
8000,32.81299999999994,5.34
8100,40.78099999999978,6.98
8200,34.73200000000006,5.74
8300,36.19600000000001,6.03
8400,35.399,5.88
8500,32.14700000000008,5.15
8600,33.34099999999994,5.46
8700,35.77099999999999,5.91
8800,30.93599999999992,4.9
8900,34.059999999999974,5.54
9000,38.41199999999993,6.56
9100,41.78699999999987,7.27
9200,36.571999999999946,6.04
9300,36.11700000000006,5.96
9400,32.07700000000007,5.09
9500,31.837000000000042,5.06
9600,25.549999999999986,3.67
9700,28.75400000000003,4.43
9800,38.21299999999991,6.45
9900,41.14799999999987,7.06
10000,39.436999999999784,6.65
10100,39.57599999999989,6.7
10200,31.40499999999997,4.94
10300,31.404000000000046,5.03
10400,39.33700000000006,6.67
10500,32.084999999999994,5.13
10600,34.557999999999936,5.67
10700,35.696999999999946,5.9
10800,42.381999999999934,7.35
10900,29.152999999999967,4.76
11000,32.08,5.13
11100,30.22900000000003,4.75
11200,36.46300000000001,6.06
11300,38.99499999999993,6.59
11400,40.6149999999998,6.9
11500,37.16499999999976,6.18
11600,36.170000000000044,5.92
11700,41.954999999999956,7.25
11800,34.98699999999988,5.73
11900,37.13400000000001,6.17
12000,41.584999999999894,7.15
12100,35.546999999999876,5.92
12200,40.691999999999794,6.95
12300,30.64899999999995,4.79
12400,32.05899999999999,5.14
12500,37.34499999999994,6.2
12600,37.22299999999994,6.22
12700,38.48899999999994,6.44
12800,40.885999999999925,6.93
12900,44.943999999999875,7.88
13000,42.117999999999846,7.22
13100,44.67999999999984,7.84
13200,34.15099999999996,5.54
13300,44.409999999999854,7.78
13400,38.27499999999996,6.42
13500,40.431999999999874,6.9
13600,39.0389999999999,6.68
13700,37.03500000000001,6.19
13800,40.27499999999986,6.96
13900,34.48600000000001,5.62
14000,36.315999999999974,6.01
14100,44.25999999999973,7.71
14200,44.60599999999981,7.79
14300,41.97899999999992,7.19
14400,36.30799999999997,5.98
14500,43.670999999999786,7.58
14600,37.44500000000004,6.23
14700,42.37799999999982,7.3
14800,47.0379999999997,8.3
14900,41.33899999999987,7.04
15000,39.64799999999996,6.72
15100,36.69000000000003,6.08
15200,45.25099999999979,7.95
15300,35.19599999999996,5.78
15400,42.41799999999982,7.29
15500,35.79600000000003,5.91
15600,38.97199999999993,6.54
15700,35.66699999999992,5.9
15800,40.90399999999986,7.07
15900,34.311000000000014,5.56
16000,37.778999999999925,6.31
16100,45.116999999999734,7.86
16200,35.37699999999996,5.82
16300,39.33799999999998,6.66
16400,35.89999999999998,5.92
16500,33.55699999999994,5.33
16600,40.84399999999991,6.93
16700,43.93199999999985,7.6
16800,45.13499999999966,7.9
16900,37.75699999999998,6.25
17000,40.69299999999988,6.95
17100,40.953999999999965,6.97
